,TM Number,Period,Date String,Uncertain,Date (Start),Date (End),Provenance,Language
13107,53981,year 32 of Ptolemaeus VIII ?,BC 139 Sep 27 - 138 Sep 26?,True,-139,-138,Syene (Assuan),Demotic
13108,53983,year 32 of Ptolemaeus VIII ?,BC 139 Sep 27 - 138 Sep 26?,True,-139,-138,Syene (Assuan),Demotic
13109,53984,,BC 139 Oct 14,False,-139,,Syene (Assuan),Demotic
13110,53985,2nd century BC,BC 199 - 100,False,-199,-100,Syene (Assuan),Demotic
13111,53986,,BC 139 Sep 27 - Oct 26,False,-139,,Syene (Assuan),Demotic
13112,53989,Ptolemaic period,BC 332 - 30,False,-332,-30,Syene (Assuan),Demotic
13113,53990,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Syene (Assuan),Demotic
13114,53991,,BC 142 Apr 24,False,-142,,Syene (Assuan),Demotic
13115,53992,Ptolemaic period,BC 332 - 30,False,-332,-30,Syene (Assuan),Demotic
13116,53993,,BC 150 - 30,False,-150,-30,Syene (Assuan),Demotic
13117,53994,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Syene (Assuan),Demotic
13118,53995,,BC 150 - 30,False,-150,-30,Syene (Assuan),Demotic
13119,53996,Roman period ?,BC 30 - AD 284?,True,-30,284,Syene (Assuan),Demotic
13120,53997,2nd century AD ?,AD 100 - 199?,True,100,199,Syene (Assuan),Demotic / Hieroglyphic
13121,53998,1st century BC,BC 99 - 1,False,-99,-1,Apollonopolis (Edfu),Demotic / Greek
13122,53999,,BC 189 Mar 7?,True,-189,,Syene (Assuan),Demotic
13123,540,Ptolemaic period,BC 332 - 30,False,-332,-30,Pathyris (Gebelein),Demotic
13124,54000,1st century BC,BC 99 - 1,False,-99,-1,Apollonopolis (Edfu),Demotic / Greek
13125,54001,1st century BC ?,BC 99 - 1?,True,-99,-1,Apollonopolis (Edfu),Demotic / Greek
13126,54003,early 1st century AD,AD 1 - 25,False,1,25,Apollonopolis (Edfu),Demotic / Latin
13127,54004,,BC 664 - 404,False,-664,-404,Memphis,Demotic / Hieroglyphic
13128,54005,3rd century AD,AD 200 - 299,False,200,299,Egypt,Demotic / Pseudo-Hieratic / Pseudo-Hieroglyphic
13129,54007,3rd century AD,AD 200 - 299,False,200,299,Egypt,Demotic / Pseudo-Hieroglyphic
13130,54008,3rd century AD,AD 200 - 299,False,200,299,Egypt,Demotic
13131,54009,3rd century AD,AD 200 - 299,False,200,299,Egypt,Demotic
13132,54010,,BC 270 Jun 2,False,-270,,Memnoneia - Djeme (Thebes west),Demotic
13133,54011,,BC 267 Oct 7,False,-267,,Dios Polis (Thebes east),Demotic
13134,54012,,BC 266 May 8,False,-266,,Dios Polis (Thebes east),Demotic
13135,54013,,BC 262 Sep 22,False,-262,,Dios Polis (Thebes east),Demotic
13136,54014,,BC 261 Mar 25,False,-261,,Dios Polis (Thebes east),Demotic
13137,54015,,BC 260 Jul 3,False,-260,,Dios Polis (Thebes east),Demotic
13138,54016,,BC 260 Jun 24,False,-260,,Dios Polis (Thebes east),Demotic
13139,54017,,BC 259 Apr 5,False,-259,,Dios Polis (Thebes east),Demotic
13140,54018,,BC 271 Jan 29,False,-271,,Dios Polis (Thebes east),Demotic
13141,54019,3rd century AD,AD 200 - 299,False,200,299,Egypt,Demotic / Hieroglyphic
13142,54020,2nd century AD ?,AD 100 - 199?,True,100,199,Memnoneia - Djeme (Thebes west),Demotic
13143,54021,Roman period,BC 30 - AD 284,False,-30,284,Egypt,Demotic
13144,54022,1st - 2nd century AD,AD 1 - 199,False,1,199,Thebes,Demotic
13145,54024,,BC 664 - 343,False,-664,-343,Memphis,Demotic / Hieroglyphic
13146,54025,2nd century AD,AD 100 - 199,False,100,199,Memnoneia - Djeme (Thebes west),Demotic / Greek
13147,54026,1st - 2nd century AD,AD 1 - 199,False,1,199,Egypt,Demotic / Greek
13148,54027,1st - 2nd century AD,AD 1 - 199,False,1,199,Egypt,Demotic / Greek
13149,54028,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13150,54029,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13151,54030,2nd century AD,AD 100 - 199,False,100,199,Sohag,Demotic
13152,54031,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13153,54032,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13154,54033,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13155,54035,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13156,54036,,AD 156 Feb 26 - Mar 26,False,156,,Sohag,Demotic
13157,54037,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13158,54038,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13159,54039,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13160,54040,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13161,54041,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13162,54042,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13163,54043,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
13164,54044,,BC 199 - 30,False,-199,-30,Pathyris (Gebelein),Demotic
13165,54045,,BC 199 - 30,False,-199,-30,Pathyris (Gebelein),Demotic
13166,54046,,BC 199 - 30,False,-199,-30,Pathyris (Gebelein),Demotic
13167,54047,year 21 of Ptolemaeus X,BC 94 Sep 16 - 93 Sep 14,False,-94,-93,Pathyris (Gebelein),Demotic
13168,54048,2nd - 3rd century AD,AD 100 - 299,False,100,299,Sohag,Demotic
